date,original_image_url,model_output_url,manual_clean_url,manually_cleaned
2024-04-23,https://original_input_image_24.jpg,https://model_output_image_24.png,https://manually_cleaned_image_24.png,1
2024-04-23,https://original_input_image_863.jpg,https://model_output_image_863.png,https://manually_cleaned_image_863.png,1
2024-04-22,https://original_input_image_870.jpg,https://model_output_image_870.png,,0
2024-04-22,https://original_input_image_762.jpg,https://model_output_image_762.png,https://manually_cleaned_image_762.png,1
2024-04-22,https://original_input_image_335.jpg,https://model_output_image_335.png,,0
2024-04-22,https://original_input_image_597.jpg,https://model_output_image_597.png,,0
2024-04-21,https://original_input_image_901.jpg,https://model_output_image_901.png,,0
2024-04-21,https://original_input_image_110.jpg,https://model_output_image_110.png,,0
2024-04-21,https://original_input_image_935.jpg,https://model_output_image_935.png,https://manually_cleaned_image_935.png,1
2024-04-21,https://original_input_image_68.jpg,https://model_output_image_68.png,,0
2024-04-20,https://original_input_image_116.jpg,https://model_output_image_116.png,https://manually_cleaned_image_116.png,1
2024-04-20,https://original_input_image_603.jpg,https://model_output_image_603.png,,0
2024-04-20,https://original_input_image_511.jpg,https://model_output_image_511.png,,0
2024-04-19,https://original_input_image_512.jpg,https://model_output_image_512.png,,0
2024-04-18,https://original_input_image_12.jpg,https://model_output_image_12.png,,0
2024-04-18,https://original_input_image_793.jpg,https://model_output_image_793.png,https://manually_cleaned_image_793.png,1
2024-04-18,https://original_input_image_616.jpg,https://model_output_image_616.png,https://manually_cleaned_image_616.png,1
2024-04-18,https://original_input_image_563.jpg,https://model_output_image_563.png,,0
2024-04-17,https://original_input_image_69.jpg,https://model_output_image_69.png,,0
2024-04-17,https://original_input_image_634.jpg,https://model_output_image_634.png,https://manually_cleaned_image_634.png,1
2024-04-16,https://original_input_image_958.jpg,https://model_output_image_958.png,,0
2024-04-16,https://original_input_image_332.jpg,https://model_output_image_332.png,https://manually_cleaned_image_332.png,1
2024-04-16,https://original_input_image_386.jpg,https://model_output_image_386.png,https://manually_cleaned_image_386.png,1
2024-04-16,https://original_input_image_132.jpg,https://model_output_image_132.png,,0
2024-04-16,https://original_input_image_732.jpg,https://model_output_image_732.png,,0
2024-04-16,https://original_input_image_740.jpg,https://model_output_image_740.png,https://manually_cleaned_image_740.png,1
2024-04-15,https://original_input_image_78.jpg,https://model_output_image_78.png,https://manually_cleaned_image_78.png,1
2024-04-15,https://original_input_image_43.jpg,https://model_output_image_43.png,,0
2024-04-14,https://original_input_image_491.jpg,https://model_output_image_491.png,,0
2024-04-14,https://original_input_image_319.jpg,https://model_output_image_319.png,,0
2024-04-14,https://original_input_image_135.jpg,https://model_output_image_135.png,https://manually_cleaned_image_135.png,1
2024-04-13,https://original_input_image_236.jpg,https://model_output_image_236.png,,0
2024-04-13,https://original_input_image_485.jpg,https://model_output_image_485.png,https://manually_cleaned_image_485.png,1
2024-04-12,https://original_input_image_320.jpg,https://model_output_image_320.png,https://manually_cleaned_image_320.png,1
2024-04-11,https://original_input_image_866.jpg,https://model_output_image_866.png,,0
2024-04-11,https://original_input_image_684.jpg,https://model_output_image_684.png,https://manually_cleaned_image_684.png,1
2024-04-11,https://original_input_image_827.jpg,https://model_output_image_827.png,https://manually_cleaned_image_827.png,1
2024-04-11,https://original_input_image_775.jpg,https://model_output_image_775.png,,0
2024-04-10,https://original_input_image_896.jpg,https://model_output_image_896.png,https://manually_cleaned_image_896.png,1
2024-04-10,https://original_input_image_771.jpg,https://model_output_image_771.png,,0
2024-04-10,https://original_input_image_226.jpg,https://model_output_image_226.png,https://manually_cleaned_image_226.png,1
2024-04-09,https://original_input_image_5.jpg,https://model_output_image_5.png,https://manually_cleaned_image_5.png,1
2024-04-09,https://original_input_image_594.jpg,https://model_output_image_594.png,https://manually_cleaned_image_594.png,1
2024-04-08,https://original_input_image_637.jpg,https://model_output_image_637.png,https://manually_cleaned_image_637.png,1
2024-04-07,https://original_input_image_755.jpg,https://model_output_image_755.png,,0
2024-04-07,https://original_input_image_558.jpg,https://model_output_image_558.png,https://manually_cleaned_image_558.png,1
2024-04-07,https://original_input_image_566.jpg,https://model_output_image_566.png,,0
2024-04-07,https://original_input_image_112.jpg,https://model_output_image_112.png,,0
2024-04-07,https://original_input_image_552.jpg,https://model_output_image_552.png,,0
2024-04-07,https://original_input_image_318.jpg,https://model_output_image_318.png,,0
2024-04-06,https://original_input_image_314.jpg,https://model_output_image_314.png,https://manually_cleaned_image_314.png,1
2024-04-06,https://original_input_image_872.jpg,https://model_output_image_872.png,,0
2024-04-06,https://original_input_image_231.jpg,https://model_output_image_231.png,,0
2024-04-05,https://original_input_image_67.jpg,https://model_output_image_67.png,,0
2024-04-05,https://original_input_image_874.jpg,https://model_output_image_874.png,,0
2024-04-05,https://original_input_image_975.jpg,https://model_output_image_975.png,https://manually_cleaned_image_975.png,1
